ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
8180777,BRA006,,BRANDS BIRDS NEST SOUP 408ML,1,CASE,$448.00,8,YES,W30,
12532274,ASI005,,ASSI KATSUO UDON NOODLE BOWL 235G,2,CASE,$25.00,6,NO,W30,
8170314,INM004,,INDOMIE PEDAS HOT STIRFRY NDLS 5PACK 80G,2,CASE,$21.60,6,NO,W30,
15016482,INM007,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,2,CASE,$19.20,6,NO,W30,
8170313,INM001,,INDOMIE MI GORENG FRIED NOODLES 85G,2,CASE,$19.20,6,NO,W30,
20641441,MMA008,,MAMA PORK MULTIPACK 5X300G,,CASE,$22.00,6,NO,W30,
20702590,NOS004,,NONG SHIM BIG BOWL SHIN 114G,2,CASE,$29.00,12,NO,W30,
8169510,NOS035,,NONGSHIM SHIN RAMEN BLACK MULTI 520G,2,CASE,$40.00,4,NO,W30,
8169511,NOS034,,NONGSHIM SHIN RAMEN M 480G,2,CASE,$24.00,4,NO,W30,
14902444,PAL002,,PALDO HWA RAMYUN HOT AND SPICY 600G,2,CASE,$30.00,4,NO,W30,
20682740,PAL001,,PALDO JJAJANGMEN NOODLE MULTIS 812G,,CASE,$70.00,8,NO,W30,
19781715,SAY017,,SAMYANG CHEESE BOWL 105G,2,CASE,$43.00,16,NO,W30,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.20,8,NO,W30,
#N/A,SAY016,,BULDAK HOT CHICKEN CHEESE 700G,2,CASE,$61.50,8,NO,W30,
18256061,LZU001,,WATSON LANZHOU NOODLE 440G,1,CASE,$50.00,18,NO,W30,
8170526,ABC001,,ABC SWEET SOY SAUCE 620ML,1,CASE,$85.68,12,NO,W30,
8173357,MAP002,,MAEPLOY RED CURRY PASTE 1KG,1,CASE,$92.00,12,NO,W30,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W30,
20630331,GLI001,,GLICO POCKY STRAWBERRY BAG 156G,1,CASE,$21.00,5,NO,W30,
8170517,YNY056,,Y Y BRAND SEA GREENS SEAWEED CLASSIC 15G,1,CASE,$44.00,24,YES,W28,
8170546,LKK072,,LKK CHILI BLACK BEAN SAUCE 230G,1,CASE,$54.00,12,NO,W28,
14722650,LKK103,,LKK MUSHROOM DARK SOY SAUCE 500ML,1,CASE,$36.00,12,NO,W28,
8170518,YNY057,,Y Y BRAND SEA GREENS SEAWEED GARLIC 15G,1,CASE,$44.00,24,YES,W28,
8170520,YNY058,,Y Y BRAND SEA GREENS SEAWEED SPICY 15G,1,CASE,$44.00,24,YES,W28,
18864483,LKK185,,LKK DUMPLING SAUCE 207ML,1,CASE,$69.00,12,NO,W28,
8170548,LKK005,,LKK LG BLACK BEAN GARLIC 368G,1,CASE,$60.00,12,NO,W28,
18768077,ORY002,,OH RICEY PHO BEEF BOWL 65G,1,CASE,$17.00,12,NO,W28,
18768073,ORY006,,OH RICEY PHO CHICKEN BOWL 65G,1,CASE,$17.00,12,NO,W28,
8170497,OTH014,,ORION CUSTARD 276G,1,CASE,$56.50,8,NO,W28,
8170493,NOS022,,NONG SHIM SHRIMP CRACKERS 75G,1,CASE,$29.50,20,NO,W28,
14737177,LKK027,,LKK SESAME SOYBEAN MIXED OIL 207ML,1,CASE,$45.00,12,NO,W28,
15733684,HAK003,,HAKUBAKU ORGANIC UDON 269g,1,CASE,$24.00,8,NO,W28,
10472728,LKK088,,LKK HOISIN SAUCE 443ML,1,CASE,$42.00,12,NO,W28,
